what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816350650
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816350702
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816352610
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299816352675
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1299816358427
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1299816359571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816361766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816361819
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816364191
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299816364249
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1299816369150
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1299816369282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816596205
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299818280024
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299818281899
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299906495868
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299906503552
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299906526449
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299906531657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299906536326
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299906538931
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299906543550
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.core",1299906544238
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299906547310
